"FileName"," Time"," Average X"," Average Y"," Average Z"," Number of Peaks X"," Number of Peaks Y"," Number of Peaks Z"," Average Jerk X"," Average Jerk Y"," Average Jerk Z"," Average XY"," Average XZ"," Average YZ"," Previous Gesture"," Gesture"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","1418.0","422.0","-1284.0","3","3","3","154.64928643479126","-138.56424658003465","-27.384206934274648","996.0","2702.0","1706.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","1512.0","532.0","-1218.0","2","2","2","44.49430768934982","164.36194496992928","413.23570804749113","980.0","2730.0","1750.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","1440.0","376.0","-1322.0","3","3","3","118.75145618929524","12.081375516601058","602.7302259081924","1064.0","2762.0","1698.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","1484.0","402.0","-1166.0","2","2","2","-29.351463605290423","-424.50558469954933","-35.52510185906898","1082.0","2650.0","1568.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","1462.0","300.0","-1314.0","3","3","3","397.7952877167701","313.2666115251178","268.4395823008056","1162.0","2776.0","1614.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","1470.0","278.0","-1260.0","2","3","2","-256.7378184013953","-668.1653365858494","-567.7448946467058","1192.0","2730.0","1538.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","1124.0","140.0","-1000.0","1","1","2","-612.3939215032103","-1659.5301843106893","-895.8522520052964","984.0","2124.0","1140.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","1070.0","58.0","-1078.0","2","1","2","-41.6546845873051","577.7603473714564","593.0734595108761","1012.0","2148.0","1136.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","1050.0","14.0","-1056.0","1","1","2","-740.3335804727012","-1047.1608759334706","-710.9553702205797","1036.0","2106.0","1070.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","346.0","-22.0","-356.0","0","0","0","367.407303589064","533.3331826292864","189.6295760459685","368.0","702.0","334.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","544.0","-8.0","-540.0","1","1","1","17.036495043789415","-288.8905978544987","-516.2981200630719","552.0","1084.0","532.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","724.0","-6.0","-708.0","1","1","1","-132.35486388785168","-288.4020834032511","-216.45427804171194","730.0","1432.0","702.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","866.0","18.0","-904.0","1","1","2","-551.6465045214939","45.602854429754075","-495.67360287225614","848.0","1770.0","922.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","1080.0","90.0","-962.0","1","1","2","261.1216737222868","504.77486843679117","949.8022992695353","990.0","2042.0","1052.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","1228.0","122.0","-1194.0","2","2","3","-312.51944044386454","99.3603690231218","-606.089376774842","1106.0","2422.0","1316.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","1252.0","244.0","-1138.0","1","1","2","-229.17558143865003","283.56405672464757","117.32627736854313","1008.0","2390.0","1382.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","1258.0","278.0","-1058.0","1","1","2","179.79402761988885","484.8140541814051","770.8300766077809","980.0","2316.0","1336.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","1382.0","312.0","-1298.0","2","2","3","-437.97214346302013","181.4762461444334","-427.0657962195016","1070.0","2680.0","1610.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","1392.0","370.0","-1232.0","2","2","2","201.93257805785217","484.1550427363933","358.1182872857739","1022.0","2624.0","1602.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","1216.0","342.0","-1118.0","2","2","2","-517.887473082882","-560.6048994710567","-1481.923714672279","874.0","2334.0","1460.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","1396.0","298.0","-1256.0","2","2","2","-197.97225257542854","-784.3159682848984","-460.09370546463936","1098.0","2652.0","1554.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","1376.0","256.0","-1356.0","2","2","3","351.6552748771282","-5.526395032494422","601.787059638306","1120.0","2732.0","1612.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","1358.0","154.0","-1348.0","3","3","3","-218.2620142048152","-936.4696904811227","-505.30365779677555","1204.0","2706.0","1502.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","1218.0","18.0","-1226.0","2","2","2","867.8945556096807","-331.81628887534004","1163.0872983206198","1200.0","2444.0","1244.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","1362.0","40.0","-1372.0","3","2","3","52.18224011350854","-103.963341289539","636.0307287818833","1322.0","2734.0","1412.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","1030.0","-114.0","-976.0","2","2","1","-510.8260796950032","354.9038594516923","-431.6877881419088","1144.0","2006.0","862.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","1058.0","-36.0","-930.0","1","1","1","-46.568856179638715","459.77997628636604","915.4159689404478","1094.0","1988.0","894.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","1024.0","-94.0","-1012.0","2","2","2","120.67900191482131","844.9141153141784","149.7963199550524","1118.0","2036.0","918.0","Brush Teeth","Brush Teeth"
